Frekuensi_Mendongeng_Mingguan,Rasio_Buku_Bergambar,Durasi_Gawai_Harian_Jam,Ketersediaan_Pojok_Baca,Target_Minat_Baca
0,0.77,2.7,1,0
1,0.13,2.5,0,0
0,0.33,1.9,1,0
7,0.74,4.5,1,1
5,0.91,3.2,0,1
3,0.56,0.9,1,1
4,0.58,1.7,1,1
4,0.2,4.3,1,0
7,0.5,0.9,0,1
2,0.58,5.2,0,0
6,0.32,3.2,0,1
0,0.34,3.1,1,0
0,0.44,3.8,1,0
2,0.12,5.0,1,0
2,0.39,2.4,1,0
7,0.29,4.2,1,1
7,0.39,3.6,1,1
2,0.21,2.0,0,0
3,0.9,5.3,1,0
7,0.63,4.9,0,1
5,0.71,4.1,1,1
7,0.81,5.2,1,1
0,0.55,5.3,1,0
7,0.18,4.4,0,1
3,0.58,5.1,0,0
2,0.63,4.3,0,0
0,0.77,4.2,0,0
7,0.49,3.9,0,1
3,0.21,4.6,1,0
5,0.36,1.4,1,1
7,0.43,5.3,0,1
3,0.68,5.3,0,0
5,0.61,0.7,1,1
2,0.42,5.0,1,0
7,0.99,1.2,1,1
5,0.65,2.3,1,1
0,0.31,4.6,1,0
2,0.19,1.4,1,0
0,0.24,5.0,1,0
4,0.32,5.1,0,0
1,0.24,3.3,1,0
7,0.27,0.5,0,1
5,0.36,2.1,1,1
1,0.26,3.9,0,0
1,0.91,5.9,1,0
5,0.17,4.0,1,1
2,0.57,1.9,1,0
7,0.47,4.0,1,1
4,0.98,3.5,0,1
0,0.2,4.8,0,0
3,0.46,1.1,1,1
0,0.97,4.7,0,0
3,0.88,3.5,1,1
0,0.84,5.8,0,0
5,0.33,2.4,1,1
4,0.25,4.0,1,0
7,0.7,5.6,1,1
3,0.94,1.1,0,1
7,0.6,5.7,1,1
7,0.61,4.3,1,1
7,0.35,0.9,1,1
6,0.79,2.2,1,1
2,0.27,4.4,1,0
0,0.39,0.9,0,0
7,0.48,3.7,1,1
0,0.56,2.4,0,0
7,0.32,3.9,0,1
3,0.2,0.8,0,1
2,0.65,5.3,0,0
2,0.36,5.9,0,0
5,0.62,5.8,0,0
6,0.24,4.6,1,1
5,0.53,1.2,1,1
5,0.58,4.7,1,1
5,0.15,0.6,1,1
5,0.4,0.6,0,1
5,0.22,2.3,1,1
4,0.16,3.2,1,1
2,0.99,4.7,0,0
5,0.39,4.3,1,1
7,0.83,3.0,0,1
2,0.33,2.0,1,0
2,0.71,6.0,1,0
1,0.78,2.8,0,0
4,0.64,3.0,0,1
5,0.52,1.4,1,1
0,0.47,4.9,1,0
3,0.41,4.3,0,0
6,0.94,1.7,1,1
7,0.85,1.0,0,1
0,0.97,4.2,1,0
4,0.21,4.1,1,0
3,0.76,2.0,0,1
4,0.94,5.7,0,0
7,0.26,1.3,0,1
2,0.16,2.9,0,0
3,0.77,5.7,0,0
2,0.62,2.8,1,0
7,0.86,4.0,0,1
0,0.23,2.7,1,0
7,0.82,2.0,1,1
0,0.28,5.9,1,0
3,0.25,2.8,1,0
3,0.25,5.4,0,0
5,0.83,1.8,1,1
4,0.7,1.7,1,1
5,0.57,0.7,1,1
4,0.42,4.1,0,0
5,0.89,2.5,1,1
2,0.45,5.3,1,0
3,0.83,3.1,0,0
0,0.5,5.8,0,0
4,0.44,1.5,1,1
7,0.52,5.3,1,1
4,0.37,4.8,1,0
0,0.77,4.7,1,0
5,0.55,5.1,0,0
4,0.31,4.7,1,0
6,0.91,3.9,1,1
2,0.45,1.2,0,0
3,0.59,0.7,0,1
0,0.92,5.6,1,0
3,0.66,3.9,0,0
